Customer_ID,Age,Gender,Annual_Income,Customer_Tenure,Purchase_Frequency,Total_Spending,Average_Order_Value,Days_Since_Last_Purchase,Website_Visits
CUST00001,21,Female,180000.0,83,8,22970.0,2871.25,83,25
CUST00002,57,Male,594766.98,28,7,14240.0,2034.29,45,26
CUST00003,33,Female,416581.18,101,1,5000.0,5000.0,278,26
CUST00004,45,Male,416404.09,50,2,3250.0,1625.0,552,29
CUST00005,33,Female,267703.32,51,12,34700.0,2891.67,31,33
CUST00006,21,Male,1004817.06,119,1,3620.0,3620.0,69,28
CUST00007,62,Female,1026448.97,108,11,16610.0,1510.0,119,27
CUST00008,43,Female,235982.35,1,12,28870.0,2405.83,0,29
CUST00009,45,Male,449717.45,34,8,17530.0,2191.25,35,21
CUST00010,49,Female,759085.78,35,9,15800.0,1755.56,56,19
CUST00011,62,Female,425501.03,90,11,8710.0,791.82,54,28
CUST00012,19,Female,380637.29,61,8,34400.0,4300.0,33,24
CUST00013,48,Female,369673.29,30,7,12290.0,1755.71,92,29
CUST00014,20,Male,575549.53,76,4,12910.0,3227.5,112,24
CUST00015,25,Female,1622194.6,78,11,14770.0,1342.73,17,21
CUST00016,41,Other,725719.49,103,1,1300.0,1300.0,684,33
CUST00017,32,Female,303614.02,68,11,33290.0,3026.36,7,20
CUST00018,60,Female,376760.89,76,20,26060.0,1303.0,16,19
CUST00019,48,Male,443243.25,88,17,35100.0,2064.71,26,28
CUST00020,26,Female,339672.85,40,14,21630.0,1545.0,10,31
CUST00021,56,Female,312326.83,95,9,10550.0,1172.22,42,24
CUST00022,62,Male,700697.68,65,21,22620.0,1077.14,3,27
CUST00023,19,Female,398731.14,37,15,30970.0,2064.67,180,26
CUST00024,25,Female,591064.27,64,8,14690.0,1836.25,1,24
CUST00025,24,Male,1115101.85,1,13,30600.0,2353.85,0,24
CUST00026,61,Male,394909.76,15,6,18270.0,3045.0,43,28
CUST00027,68,Female,565771.22,13,6,12660.0,2110.0,175,29
CUST00028,56,Male,315442.96,29,22,54940.0,2497.27,6,25
CUST00029,59,Male,602801.33,55,14,23960.0,1711.43,4,33
CUST00030,33,Male,897513.43,45,9,7320.0,813.33,101,20
CUST00031,52,Male,876914.34,4,6,8070.0,1345.0,24,18
CUST00032,47,Female,509610.04,64,26,35090.0,1349.62,17,24
