Purchase_ID,Customer_ID,Product_ID,Purchase_Date,Quantity
PUR00001,CUST00001,P00141,2024-10-16,1
PUR00002,CUST00001,P00205,2025-07-09,2
PUR00003,CUST00001,P00589,2025-12-01,2
PUR00004,CUST00001,P00697,2025-07-11,1
PUR00005,CUST00001,P00747,2026-01-26,1
PUR00006,CUST00001,P00303,2026-06-10,1
PUR00007,CUST00001,P00450,2026-02-09,1
PUR00008,CUST00001,P00574,2025-06-20,1
PUR00009,CUST00002,P00235,2026-06-11,2
PUR00010,CUST00002,P00067,2026-07-18,1
PUR00011,CUST00002,P00721,2026-05-08,2
PUR00012,CUST00002,P00095,2025-08-22,1
PUR00013,CUST00002,P00721,2026-05-25,1
PUR00014,CUST00002,P00721,2025-09-19,1
PUR00015,CUST00002,P00721,2024-11-19,2
PUR00016,CUST00003,P00651,2025-11-27,2
PUR00017,CUST00004,P00303,2024-10-09,1
PUR00018,CUST00004,P00137,2025-02-26,1
PUR00019,CUST00005,P00583,2026-08-01,1
PUR00020,CUST00005,P00373,2024-11-30,2
PUR00021,CUST00005,P00551,2024-09-21,1
PUR00022,CUST00005,P00237,2025-11-25,1
PUR00023,CUST00005,P00632,2025-07-29,1
PUR00024,CUST00005,P00237,2026-01-27,2
PUR00025,CUST00005,P00044,2026-04-13,1
PUR00026,CUST00005,P00425,2024-10-18,1
PUR00027,CUST00005,P00015,2024-09-24,2
PUR00028,CUST00005,P00237,2025-12-17,1
PUR00029,CUST00005,P00588,2024-09-16,2
PUR00030,CUST00005,P00474,2026-07-17,1
PUR00031,CUST00006,P00515,2026-06-24,2
PUR00032,CUST00007,P00280,2024-10-03,2
PUR00033,CUST00007,P00365,2026-01-08,1
PUR00034,CUST00007,P00539,2024-11-11,1
PUR00035,CUST00007,P00040,2025-03-14,1
PUR00036,CUST00007,P00645,2024-10-08,1
PUR00037,CUST00007,P00022,2025-01-27,1
PUR00038,CUST00007,P00022,2026-02-17,1
PUR00039,CUST00007,P00022,2025-05-15,2
PUR00040,CUST00007,P00110,2025-07-26,1
PUR00041,CUST00007,P00022,2026-05-05,2
PUR00042,CUST00007,P00539,2026-02-21,1
PUR00043,CUST00008,P00523,2026-08-14,1
PUR00044,CUST00008,P00400,2026-08-08,3
PUR00045,CUST00008,P00462,2026-08-06,1
PUR00046,CUST00008,P00462,2026-08-29,1
PUR00047,CUST00008,P00462,2026-08-16,1
PUR00048,CUST00008,P00282,2026-09-01,1
PUR00049,CUST00008,P00462,2026-08-07,1
PUR00050,CUST00008,P00462,2026-08-29,1
PUR00051,CUST00008,P00716,2026-08-31,2
PUR00052,CUST00008,P00462,2026-08-17,1
PUR00053,CUST00008,P00462,2026-08-11,1
PUR00054,CUST00008,P00205,2026-08-05,1
PUR00055,CUST00009,P00609,2026-07-28,1
PUR00056,CUST00009,P00320,2025-04-24,2
PUR00057,CUST00009,P00320,2024-10-26,1
PUR00058,CUST00009,P00609,2025-04-11,1
