item_id,name,category,brand,price,rating,user_id
ITEM_10000,Fashion Product 1,Footwear,Levi's,116.5,4.5,CUST_1197
ITEM_10001,Fashion Product 2,Outerwear,Gucci,168.33,2.7,CUST_1212
ITEM_10002,Fashion Product 3,Dresses,H&M,240.33,3.2,CUST_1499
ITEM_10003,Fashion Product 4,Outerwear,Gucci,34.0,5.0,CUST_1071
ITEM_10004,Fashion Product 5,Outerwear,Uniqlo,125.75,4.5,CUST_1235
ITEM_10005,Fashion Product 6,Bottoms,H&M,21.91,4.8,CUST_1279
ITEM_10006,Fashion Product 7,Dresses,Puma,129.89,4.0,CUST_1449
ITEM_10007,Fashion Product 8,Dresses,Mango,70.54,3.5,CUST_1167
ITEM_10008,Fashion Product 9,Dresses,Adidas,228.66,4.9,CUST_1195
ITEM_10009,Fashion Product 10,Outerwear,Zara,105.64,3.3,CUST_1173
ITEM_10010,Fashion Product 11,Footwear,H&M,162.13,4.4,CUST_1195
ITEM_10011,Fashion Product 12,Dresses,Gucci,216.47,3.9,CUST_1063
ITEM_10012,Fashion Product 13,Accessories,Zara,246.09,3.1,CUST_1070
ITEM_10013,Fashion Product 14,Outerwear,Nike,130.92,2.5,CUST_1223
ITEM_10014,Fashion Product 15,Bottoms,H&M,119.38,3.5,CUST_1310
ITEM_10015,Fashion Product 16,Footwear,Adidas,28.18,3.9,CUST_1283
ITEM_10016,Fashion Product 17,Accessories,Uniqlo,13.06,3.0,CUST_1349
ITEM_10017,Fashion Product 18,Accessories,Puma,156.11,3.5,CUST_1079
ITEM_10018,Fashion Product 19,Bottoms,Adidas,25.71,4.0,CUST_1036
ITEM_10019,Fashion Product 20,Footwear,Gucci,101.29,4.3,CUST_1389
ITEM_10020,Fashion Product 21,Outerwear,Uniqlo,10.87,2.6,CUST_1195
ITEM_10021,Fashion Product 22,Tops,Mango,157.65,4.2,CUST_1435
ITEM_10022,Fashion Product 23,Footwear,Uniqlo,112.1,2.6,CUST_1217
ITEM_10023,Fashion Product 24,Bottoms,H&M,40.48,2.6,CUST_1288
ITEM_10024,Fashion Product 25,Accessories,Zara,81.13,2.9,CUST_1149
ITEM_10025,Fashion Product 26,Outerwear,Zara,146.72,4.1,CUST_1496
ITEM_10026,Fashion Product 27,Footwear,Gucci,167.61,2.6,CUST_1273
ITEM_10027,Fashion Product 28,Tops,Uniqlo,120.96,2.6,CUST_1201
ITEM_10028,Fashion Product 29,Tops,Adidas,202.95,2.8,CUST_1154
ITEM_10029,Fashion Product 30,Dresses,Gucci,36.99,4.9,CUST_1022
ITEM_10030,Fashion Product 31,Dresses,Puma,30.29,4.8,CUST_1297
ITEM_10031,Fashion Product 32,Bottoms,Gucci,20.62,2.7,CUST_1494
ITEM_10032,Fashion Product 33,Footwear,Gucci,138.6,3.3,CUST_1315
ITEM_10033,Fashion Product 34,Footwear,Mango,179.5,4.9,CUST_1215
ITEM_10034,Fashion Product 35,Accessories,H&M,41.33,2.7,CUST_1331
ITEM_10035,Fashion Product 36,Accessories,Mango,163.35,2.7,CUST_1122
ITEM_10036,Fashion Product 37,Accessories,Zara,124.47,2.7,CUST_1266
ITEM_10037,Fashion Product 38,Dresses,Zara,246.96,4.9,CUST_1343
ITEM_10038,Fashion Product 39,Footwear,Nike,182.19,4.4,CUST_1261
ITEM_10039,Fashion Product 40,Footwear,Nike,167.79,3.0,CUST_1055
ITEM_10040,Fashion Product 41,Tops,Adidas,146.91,2.6,CUST_1282
ITEM_10041,Fashion Product 42,Dresses,Zara,249.37,4.9,CUST_1260
ITEM_10042,Fashion Product 43,Outerwear,Mango,245.31,3.6,CUST_1363
ITEM_10043,Fashion Product 44,Dresses,Puma,139.15,4.0,CUST_1283
ITEM_10044,Fashion Product 45,Outerwear,Nike,119.24,3.2,CUST_1230
ITEM_10045,Fashion Product 46,Tops,Uniqlo,120.91,4.4,CUST_1482
ITEM_10046,Fashion Product 47,Bottoms,Nike,112.8,3.0,CUST_1126
ITEM_10047,Fashion Product 48,Footwear,Zara,137.54,4.5,CUST_1442
ITEM_10048,Fashion Product 49,Tops,Gucci,75.66,3.1,CUST_1259
ITEM_10049,Fashion Product 50,Footwear,H&M,232.43,2.7,CUST_1050
ITEM_10050,Fashion Product 51,Accessories,Zara,127.66,3.7,CUST_1224
ITEM_10051,Fashion Product 52,Bottoms,Gucci,212.08,4.5,CUST_1381
ITEM_10052,Fashion Product 53,Bottoms,Puma,124.07,3.5,CUST_1282
ITEM_10053,Fashion Product 54,Tops,Puma,182.39,2.6,CUST_1146
ITEM_10054,Fashion Product 55,Bottoms,Uniqlo,90.85,3.9,CUST_1391
ITEM_10055,Fashion Product 56,Outerwear,Levi's,159.95,4.2,CUST_1373
ITEM_10056,Fashion Product 57,Bottoms,Mango,129.61,4.4,CUST_1045
ITEM_10057,Fashion Product 58,Footwear,H&M,98.11,3.5,CUST_1397
ITEM_10058,Fashion Product 59,Footwear,Zara,221.57,2.7,CUST_1262
ITEM_10059,Fashion Product 60,Footwear,Zara,37.05,4.0,CUST_1419
